award,winner,title,person,imdbID
Best Picture,True,Anora,,tt28607951
Best Picture,False,The Brutalist,,tt8999762
Best Picture,False,A Complete Unknown,,tt11563598
Best Picture,False,Conclave,,tt20215234
Best Picture,False,Dune: Part Two,,tt15239678
Best Picture,False,Emilia Pérez,,tt20221436
Best Picture,False,I'm Still Here,,tt14961016
Best Picture,False,Nickel Boys,,tt23055660
Best Picture,False,The Substance,,tt17526714
Best Picture,False,Wicked,,tt1262426
Best Directing,True,Anora,Sean Baker,tt28607951
Best Directing,False,The Brutalist,Brady Corbet,tt8999762
Best Directing,False,A Complete Unknown,James Mangold,tt11563598
Best Directing,False,Emilia Pérez,Jacques Audiard,tt20221436
Best Directing,False,The Substance,Coralie Fargeat,tt17526714
Best Actor in a Leading Role,True,The Brutalist,Adrien Brody,tt8999762
Best Actor in a Leading Role,False,A Complete Unknown,Timothée Chalamet,tt11563598
Best Actor in a Leading Role,False,Sing Sing,Colman Domingo,tt28479262
Best Actor in a Leading Role,False,Conclave,Ralph Fiennes,tt20215234
Best Actor in a Leading Role,False,The Apprentice,Sebastian Stan,tt8368368
Best Actress in a Leading Role,True,Anora,Mikey Madison,tt28607951
Best Actress in a Leading Role,False,Wicked,Cynthia Erivo,tt1262426
Best Actress in a Leading Role,False,Emilia Pérez,Karla Sofía Gascón,tt20221436
Best Actress in a Leading Role,False,The Substance,Demi Moore,tt17526714
Best Actress in a Leading Role,False,I'm Still Here,Fernanda Torres,tt14961016
Best Actor in a Supporting Role,True,A Real Pain,Kieran Culkin,tt21823606
Best Actor in a Supporting Role,False,Anora,Yura Borisov,tt28607951
Best Actor in a Supporting Role,False,A Complete Unknown,Edward Norton,tt11563598
Best Actor in a Supporting Role,False,The Brutalist,Guy Pearce,tt8999762
Best Actor in a Supporting Role,False,The Apprentice,Jeremy Strong,tt8368368
Best Actress in a Supporting Role,True,Emilia Pérez,Zoe Saldaña,tt20221436
Best Actress in a Supporting Role,False,A Complete Unknown,Monica Barbaro,tt11563598
Best Actress in a Supporting Role,False,Wicked,Ariana Grande,tt1262426
Best Actress in a Supporting Role,False,The Brutalist,Felicity Jones,tt8999762
Best Actress in a Supporting Role,False,Conclave,Isabella Rossellini,tt20215234
Best Writing (Original Screenplay),True,Anora,,tt28607951
Best Writing (Original Screenplay),False,The Brutalist,,tt8999762
Best Writing (Original Screenplay),False,A Real Pain,,tt21823606
Best Writing (Original Screenplay),False,September 5,,tt28082769
Best Writing (Original Screenplay),False,The Substance,,tt17526714
Best Writing (Adapted Screenplay),True,Conclave,,tt20215234
Best Writing (Adapted Screenplay),False,A Complete Unknown,,tt11563598
Best Writing (Adapted Screenplay),False,Emilia Pérez,,tt20221436
Best Writing (Adapted Screenplay),False,Nickel Boys,,tt23055660
Best Writing (Adapted Screenplay),False,Sing Sing,,tt28479262
Best Animated Feature Film,True,Flow,,tt4772188
Best Animated Feature Film,False,Inside Out 2,,tt22022452
Best Animated Feature Film,False,Memoir of a Snail,,tt23770030
Best Animated Feature Film,False,Wallace & Gromit: Vengeance Most Fowl,,tt17163970
Best Animated Feature Film,False,The Wild Robot,,tt29623480
Best International Feature Film,True,I'm Still Here,,tt14961016
Best International Feature Film,False,Emilia Pérez,,tt20221436
Best International Feature Film,False,Flow,,tt4772188
Best International Feature Film,False,The Girl with the Needle,,tt10236164
Best International Feature Film,False,The Seed of the Sacred Fig,,tt32178949
Best Documentary Feature Film,True,No Other Land,,tt30953759
Best Documentary Feature Film,False,Black Box Diaries,,tt30227076
Best Documentary Feature Film,False,Porcelain War,,tt30294282
Best Documentary Feature Film,False,Soundtrack to a Coup d'Etat,,tt14452174
Best Documentary Feature Film,False,Sugarcane,,tt30319854
Best Documentary Short Film,True,The Only Girl in the Orchestra,,tt29497240
Best Documentary Short Film,False,Death by Numbers,,tt33385063
Best Documentary Short Film,False,"I Am Ready, Warden",,tt31556921
Best Documentary Short Film,False,Incident,,tt27990245
Best Documentary Short Film,False,Instruments of a Beating Heart,,tt32280470
Best Short Film (Live Action),True,I'm Not a Robot,,tt19837932
Best Short Film (Live Action),False,A Lien,,tt27655666
Best Short Film (Live Action),False,Anuja,,tt27654431
Best Short Film (Live Action),False,The Last Ranger,,tt15802124
Best Short Film (Live Action),False,The Man Who Could Not Remain Silent,,tt20519854
Best Animated Short Film,True,In the Shadow of the Cypress,,tt28768883
Best Animated Short Film,False,Beautiful Men,,tt30835281
Best Animated Short Film,False,Magic Candies,,tt31888603
Best Animated Short Film,False,Wander to Wonder,,tt28768679
Best Animated Short Film,False,Yuck!,,tt28356173
Best Music (Original Score),True,The Brutalist,,tt8999762
Best Music (Original Score),False,Conclave,,tt20215234
Best Music (Original Score),False,Emilia Pérez,,tt20221436
Best Music (Original Score),False,Wicked,,tt1262426
Best Music (Original Score),False,The Wild Robot,,tt29623480
Best Music (Original Song),True,Emilia Pérez,,tt20221436
Best Music (Original Song),False,The Six Triple Eight,,tt24458622
Best Music (Original Song),False,Sing Sing,,tt28479262
Best Music (Original Song),False,Emilia Pérez,,tt20221436
Best Music (Original Song),False,Elton John: Never Too Late,,tt20316978
Best Sound,True,Dune: Part Two,,tt15239678
Best Sound,False,A Complete Unknown,,tt11563598
Best Sound,False,Emilia Pérez,,tt20221436
Best Sound,False,Wicked,,tt1262426
Best Sound,False,The Wild Robot,,tt29623480
Best Production Design,True,Wicked,,tt1262426
Best Production Design,False,The Brutalist,,tt8999762
Best Production Design,False,Conclave,,tt20215234
Best Production Design,False,Dune: Part Two,,tt15239678
Best Production Design,False,Nosferatu,,tt5040012
Best Cinematography,True,The Brutalist,,tt8999762
Best Cinematography,False,Dune: Part Two,,tt15239678
Best Cinematography,False,Emilia Pérez,,tt20221436
Best Cinematography,False,Maria,,tt22893404
Best Cinematography,False,Nosferatu,,tt5040012
Best Makeup and Hairstyling,True,The Substance,,tt17526714
Best Makeup and Hairstyling,False,A Different Man,,tt21097228
Best Makeup and Hairstyling,False,Emilia Pérez,,tt20221436
Best Makeup and Hairstyling,False,Nosferatu,,tt5040012
Best Makeup and Hairstyling,False,Wicked,,tt1262426
Best Costume Design,True,Wicked,,tt1262426
Best Costume Design,False,A Complete Unknown,,tt11563598
Best Costume Design,False,Conclave,,tt20215234
Best Costume Design,False,Gladiator II,,tt9218128
Best Costume Design,False,Nosferatu,,tt5040012
Best Film Editing,True,Anora,,tt28607951
Best Film Editing,False,The Brutalist,,tt8999762
Best Film Editing,False,Conclave,,tt20215234
Best Film Editing,False,Emilia Pérez,,tt20221436
Best Film Editing,False,Wicked,,tt1262426
Best Visual Effects,True,Dune: Part Two,,tt15239678
Best Visual Effects,False,Alien: Romulus,,tt18412256
Best Visual Effects,False,Better Man,,tt14260836
Best Visual Effects,False,Kingdom of the Planet of the Apes,,tt11389872
Best Visual Effects,False,Wicked,,tt1262426
